WEB,MOM,Image,Actv Web,Note,MPN / Availability ,Item # ,UPC,Category,Product Name,Color ,Cost, Price,Min Q,Inventory,MOM Low Level,BC Low Level,Color Group ,Color Group ,Color Group ,Color Group ,Color Group ,Color Group ,Flower Type,Flower Type ,Flower Type ,Size,Season,Season,Season,Season,Copy ,Bullet ,Bullet ,Bullet ,Bullet ,Bullet ,Bullet ,Page Title,Meta Description ,Meta Keywords,X-Sell Vase ,X-Sell Gems ,Overall  Height,Overall Width (for Sprays),Bloom Diameter,# of Stems in Bouquet Photo,Bouquet Vase Dimensions,Item # for Vase Used,Outline Photo (-ot),Outline Alt (-alt),Bouquet Photo (-bq),Bouquet Close Up    (-bcu)
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S1276-WHT,848644017103,All Stems ,"Faux Magnolia Flower Stem - 14"" ",White,$1.05,$5.00,4,250,,12,Cream-White,,,,,,Magnolias,,,"5"" to 18""",,,,,"Realistic 14"" silk magnolia stems featured in cream/white. 12 stems shown  in photo and arranged in our 6"" glass cylinder vase with clear gems (sold seperately)","14"" Tall x 5"" Wide","Bloom Diamter 4""",12 Stems Shown In Photo ,"Stems Arranged In Our 6"" Hand Blown Glass cylinder Vase With Clear Gems (Sold Seperately) ",Handcrafted In China - Imported,,Faux Magnolia Flower Stem - Petals.com,,,CV6048-CLR,,14''H,5''W,4''D,12,6''Hx4''D,CV6048-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S1577,848644017110,All Stems ,"Silk Hydrangea Flower Stem - 21"" ",Master SKU ,$1.57,$7.50,3,NA,,12,Cream-White,Green-Brown-Beige,Lavender-Blue-Purple,Peach-Coral-Orange,,,Hydrangea,,,"19"" to 24"" ",Spring ,Summer,,,"Enjoy our lifelike 21"" faux hydrangea stems available in 6 different colors. 12 stems featured in our 10"" cylinder vase with clear gems (sold seperately)","21"" Tall x 6"" Wide","Bloom Diamter 1.4""",12 Stems Shown In Photo ,"Stems Arranged In Our 10"" Hand Blown Vase With Clear Gems (Sold Seperately)",Handcrafted In China - Imported,,Hydrangea Silk Flower Stem - Petals.com,,,CV4486-CLR,,21''H,6''W,1.5''D,12,10''Hx4''D,CV4486-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S1577-BRWH,848644017110,All Stems ,"Silk Hydrangea Flower Stem - 21"" ",Bridal White,$1.57,$7.50,3,250,,12,Cream-White,Green-Brown-Beige,Lavender-Blue-Purple,Peach-Coral-Orange,,,Hydrangea,,,"19"" to 24"" ",Spring ,Summer,,,"Enjoy our lifelike 21"" faux hydrangea stems available in 6 different colors. 12 stems featured in our 10"" cylinder vase with clear gems (sold seperately)","21"" Tall x 6"" Wide","Bloom Diamter 1.4""",12 Stems Shown In Photo ,"Stems Arranged In Our 10"" Hand Blown Vase With Clear Gems (Sold Seperately)",Handcrafted In China - Imported,,Bridal White Hydrangea Silk Flower Stem - Petals.com,,,CV4486-CLR,,21''H,6''W,1.5''D,12,10''Hx4''D,CV4486-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S1577-GR,848644017127,All Stems ,"Silk Hydrangea Flower Stem - 21"" ",Green,$1.57,$7.50,3,250,,12,Cream-White,Green-Brown-Beige,Lavender-Blue-Purple,Peach-Coral-Orange,,,Hydrangea,,,"19"" to 24"" ",Spring ,Summer,,,"Enjoy our lifelike 21"" faux hydrangea stems available in 6 different colors. 12 stems featured in our 10"" cylinder vase with clear gems (sold seperately)","21"" Tall x 6"" Wide","Bloom Diamter 1.4""",12 Stems Shown In Photo ,"Stems Arranged In Our 10"" Hand Blown Vase With Clear Gems (Sold Seperately)",Handcrafted In China - Imported,,Green Hydrangea Silk Flower Stem - Petals.com,,,CV4486-CLR,,21''H,6''W,1.5''D,12,10''Hx4''D,CV4486-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S1577-HBL,848644017134,All Stems ,"Silk Hydrangea Flower Stem - 21"" ",Heavenly Blue,$1.57,$7.50,3,250,,12,Cream-White,Green-Brown-Beige,Lavender-Blue-Purple,Peach-Coral-Orange,,,Hydrangea,,,"19"" to 24"" ",Spring ,Summer,,,"Enjoy our lifelike 21"" faux hydrangea stems available in 6 different colors. 12 stems featured in our 10"" cylinder vase with clear gems (sold seperately)","21"" Tall x 6"" Wide","Bloom Diamter 1.4""",12 Stems Shown In Photo ,"Stems Arranged In Our 10"" Hand Blown Vase With Clear Gems (Sold Seperately)",Handcrafted In China - Imported,,Heavenly Blue Hydrangea Silk Flower Stem - Petals.com,,,CV4486-CLR,,21''H,6''W,1.5''D,12,10''Hx4''D,CV4486-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S1577-LV,848644017141,All Stems ,"Silk Hydrangea Flower Stem - 21"" ",Lavender,$1.57,$7.50,3,150,,12,Cream-White,Green-Brown-Beige,Lavender-Blue-Purple,Peach-Coral-Orange,,,Hydrangea,,,"19"" to 24"" ",Spring ,Summer,,,"Enjoy our lifelike 21"" faux hydrangea stems available in 6 different colors. 12 stems featured in our 10"" cylinder vase with clear gems (sold seperately)","21"" Tall x 6"" Wide","Bloom Diamter 1.4""",12 Stems Shown In Photo ,"Stems Arranged In Our 10"" Hand Blown Vase With Clear Gems (Sold Seperately)",Handcrafted In China - Imported,,Lavender Hydrangea Silk Flower Stem - Petals.com,,,CV4486-CLR,,21''H,6''W,1.5''D,12,10''Hx4''D,CV4486-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S1577-PMKN,848644017158,All Stems ,"Silk Hydrangea Flower Stem - 21"" ",Pumpkin,$1.57,$7.50,3,250,,12,Cream-White,Green-Brown-Beige,Lavender-Blue-Purple,Peach-Coral-Orange,,,Hydrangea,,,"19"" to 24"" ",Spring ,Summer,,,"Enjoy our lifelike 21"" faux hydrangea stems available in 6 different colors. 12 stems featured in our 10"" cylinder vase with clear gems (sold seperately)","21"" Tall x 6"" Wide","Bloom Diamter 1.4""",12 Stems Shown In Photo ,"Stems Arranged In Our 10"" Hand Blown Vase With Clear Gems (Sold Seperately)",Handcrafted In China - Imported,,Pumpkin Hydrangea Silk Flower Stem - Petals.com,,,CV4486-CLR,,21''H,6''W,1.5''D,12,10''Hx4''D,CV4486-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S1577-PU,848644017165,All Stems ,"Silk Hydrangea Flower Stem - 21"" ",Purple,$1.57,$7.50,3,0,,12,Cream-White,Green-Brown-Beige,Lavender-Blue-Purple,Peach-Coral-Orange,,,Hydrangea,,,"19"" to 24"" ",Spring ,Summer,,,"Enjoy our lifelike 21"" faux hydrangea stems available in 6 different colors. 12 stems featured in our 10"" cylinder vase with clear gems (sold seperately)","21"" Tall x 6"" Wide","Bloom Diamter 1.4""",12 Stems Shown In Photo ,"Stems Arranged In Our 10"" Hand Blown Vase With Clear Gems (Sold Seperately)",Handcrafted In China - Imported,,Purple Hydrangea Silk Flower Stem - Petals.com,,,CV4486-CLR,,21''H,6''W,1.5''D,12,10''Hx4''D,CV4486-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,,,S1773,,All Stems ,"Artificial Vanda Orchid Spray - 33""  ",Master SKU ,,,,NA,,12,Cream-White,Red-Burgundy,,,,,Orchids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,TRUE,,,S1773-WH,848644018575,All Stems ,"Artificial Vanda Orchid Spray - 33""  ",White,$1.72,$8.25,2,0,,12,Cream-White,Red-Burgundy,,,,,Orchids,,,,,,,,,,,,,,,,,,,,33''H,-,3''D,12,12''Hx4''D,CV4809-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,,,S1773-XMRD,848644018582,All Stems ,"Artificial Vanda Orchid Spray - 33""  ",Xmas Red,$1.72,$8.25,2,0,,12,Cream-White,Red-Burgundy,,,,,Orchids,,,,,,,,,,,,,,,,,,,,33''H,-,3''D,12,12''Hx4''D,CV4809-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S1802-CHPN,848644017172,All Stems ,"Faux Tree Magnolia Flower Stem - 24"" ",White,$5.94,$23.75,1,0,,12,Cream-White,,,,,,Magnolia,,,"19"" to 24"" ",,,,,"Realistic 24"" silk magnolia stems in a lifelike cream/white. ","24"" Tall x ","Bloom Diameter 5""",8 Stems Shown In Photo,"Stems Arranged In Our 8"" Hand Blown Glass Cylinder Vase With Clear Gems (Sold Seperately)",Handcrafted In China - Imported,,Faux Tree Magnolia Flower Stem - Petals.com,,,CV6049-CLR,,24''H,,5''D,8,8''Hx4''D,CV6049-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S2347-GR,848644017189,All Stems ,"Artificial Pearl Grass Bush Spray - 22""  ",TT Green,$1.91,$9.00,2,0,,12,Green-Brown-Beige,,,,,,Foliage & Greenery,,,"19"" to 24"" ",,,,,"Lifelike 22"" faux pearl grass stems. ","22"" Tall x 14"" W",,,,Handcrafted In China - Imported,,Artifical Pearl Grass Bush Spray - Petals.com,,,,,22''H,14''W,-,,,,x,,,
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S2865,848644017196,All Stems ,"Zinnia Silk Flower Stem  - 24"" ",Master SKU ,$1.15,$5.50,3,NA,,12,Pink-Fuchsia-Beauty,Yellow-Gold,Green-Brown-Beige,Peach-Coral-Orange,,,Zinnia,,,"19"" to 24"" ",,Summer ,Fall,,"Lifelike 24"" faux zinnia stems, available in 6 colors.12 stems in photo in our 10"" cylinder vase with clear gems (sold seperately)","24"" Tall 7"" W","Bloom Diameter 3""",12 Stems In Photo,"Stems Arranged In Our 10"" Hand Blown Cylinder Vase With Clear Gems (Sold Seperately)",Handcrafted In China - Imported,,Zinnia Silk Flower Stem - Petals.com,,,CV4486-CLR,,24''H,7''W,3''D,12,10''Hx4''D,CV4486-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S2865-FU,848644017196,All Stems ,"Zinnia Silk Flower Stem  - 24"" ",Fuchsia,$1.15,$5.50,3,250,,12,Pink-Fuchsia-Beauty,Yellow-Gold,Green-Brown-Beige,Peach-Coral-Orange,,,Zinnia,,,"19"" to 24"" ",,Summer ,Fall,,"Lifelike 24"" faux zinnia stems, available in 6 colors.12 stems in photo in our 10"" cylinder vase with clear gems (sold seperately)","24"" Tall 7"" W","Bloom Diameter 3""",12 Stems In Photo,"Stems Arranged In Our 10"" Hand Blown Cylinder Vase With Clear Gems (Sold Seperately)",Handcrafted In China - Imported,,Fuchsia Zinnia Silk Flower Stem - Petals.com,,,CV4486-CLR,,24''H,7''W,3''D,12,10''Hx4''D,CV4486-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S2865-GO,848644017202,All Stems ,"Zinnia Silk Flower Stem  - 24"" ",Gold,$1.15,$5.50,3,150,,12,Pink-Fuchsia-Beauty,Yellow-Gold,Green-Brown-Beige,Peach-Coral-Orange,,,Zinnia,,,"19"" to 24"" ",,Summer ,Fall,,"Lifelike 24"" faux zinnia stems, available in 6 colors.12 stems in photo in our 10"" cylinder vase with clear gems (sold seperately)","24"" Tall 7"" W","Bloom Diameter 3""",12 Stems In Photo,"Stems Arranged In Our 10"" Hand Blown Cylinder Vase With Clear Gems (Sold Seperately)",Handcrafted In China - Imported,,Gold Zinnia Silk Flower Stem - Petals.com,,,CV4486-CLR,,24''H,7''W,3''D,12,10''Hx4''D,CV4486-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S2865-GR,848644017219,All Stems ,"Zinnia Silk Flower Stem  - 24"" ",Green,$1.15,$5.50,3,0,,12,Pink-Fuchsia-Beauty,Yellow-Gold,Green-Brown-Beige,Peach-Coral-Orange,,,Zinnia,,,"19"" to 24"" ",,Summer ,Fall,,"Lifelike 24"" faux zinnia stems, available in 6 colors.12 stems in photo in our 10"" cylinder vase with clear gems (sold seperately)","24"" Tall 7"" W","Bloom Diameter 3""",12 Stems In Photo,"Stems Arranged In Our 10"" Hand Blown Cylinder Vase With Clear Gems (Sold Seperately)",Handcrafted In China - Imported,,Green Zinnia Silk Flower Stem - Petals.com,,,CV4486-CLR,,24''H,7''W,3''D,12,10''Hx4''D,CV4486-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S2865-OR,848644017226,All Stems ,"Zinnia Silk Flower Stem  - 24"" ",Orange,$1.15,$5.50,3,250,,12,Pink-Fuchsia-Beauty,Yellow-Gold,Green-Brown-Beige,Peach-Coral-Orange,,,Zinnia,,,"19"" to 24"" ",,Summer ,Fall,,"Lifelike 24"" faux zinnia stems, available in 6 colors.12 stems in photo in our 10"" cylinder vase with clear gems (sold seperately)","24"" Tall 7"" W","Bloom Diameter 3""",12 Stems In Photo,"Stems Arranged In Our 10"" Hand Blown Cylinder Vase With Clear Gems (Sold Seperately)",Handcrafted In China - Imported,,Orange Zinnia Silk Flower Stem - Petals.com,,,CV4486-CLR,,24''H,7''W,3''D,12,10''Hx4''D,CV4486-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S2865-PK,848644017233,All Stems ,"Zinnia Silk Flower Stem  - 24"" ",Pink,$1.15,$5.50,3,0,,12,Pink-Fuchsia-Beauty,Yellow-Gold,Green-Brown-Beige,Peach-Coral-Orange,,,Zinnia,,,"19"" to 24"" ",,Summer ,Fall,,"Lifelike 24"" faux zinnia stems, available in 6 colors.12 stems in photo in our 10"" cylinder vase with clear gems (sold seperately)","24"" Tall 7"" W","Bloom Diameter 3""",12 Stems In Photo,"Stems Arranged In Our 10"" Hand Blown Cylinder Vase With Clear Gems (Sold Seperately)",Handcrafted In China - Imported,,Pink Zinnia Silk Flower Stem - Petals.com,,,CV4486-CLR,,24''H,7''W,3''D,12,10''Hx4''D,CV4486-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S2865-PMKN,848644017240,All Stems ,"Zinnia Silk Flower Stem  - 24"" ",Pumpkin/Rust,$1.15,$5.50,3,0,,12,Pink-Fuchsia-Beauty,Yellow-Gold,Green-Brown-Beige,Peach-Coral-Orange,,,Zinnia,,,"19"" to 24"" ",,Summer ,Fall,,"Lifelike 24"" faux zinnia stems, available in 6 colors.12 stems in photo in our 10"" cylinder vase with clear gems (sold seperately)","24"" Tall 7"" W","Bloom Diameter 3""",12 Stems In Photo,"Stems Arranged In Our 10"" Hand Blown Cylinder Vase With Clear Gems (Sold Seperately)",Handcrafted In China - Imported,,Pumpkin/Rust Zinnia Silk Flower Stem - Petals.com,,,CV4486-CLR,,24''H,7''W,3''D,12,10''Hx4''D,CV4486-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,REQUESTING ENVIORNMENTAL,,S3023,,All Stems ,"Artificial Mountain Grass Spray - 22"" ",Master SKU ,,,,NA,,12,,,,,,,Greenery & Foliage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,TRUE,REQUESTING ENVIORNMENTAL,,S3023-BU,848644018599,All Stems ,"Artificial Mountain Grass Spray - 22"" ",Burgundy,$2.19,$10.50,2,0,,12,,,,,,,Greenery & Foliage,,,,,,,,,,,,,,,,,,,,22''H,26''W,-,,,,x,,,
TRUE,TRUE,TRUE,TRUE,REQUESTING ENVIORNMENTAL,,S3023-LTGR,848644018605,All Stems ,"Artificial Mountain Grass Spray - 22"" ",Green,$2.19,$10.50,2,0,,12,,,,,,,Greenery & Foliage,,,,,,,,,,,,,,,,,,,,22''H,26''W,-,,,,x,,,
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S3047-GR,848644017257,All Stems ,"Faux Bird of Paradise Leaf Stem - 35"" ",Green,$1.80,$8.50,3,0,,12,Green-Brown-Beige,,,,,,Topical,,,"25"" and Over",Summer,,,,"Lifelike 35"" faux bird of paradise stem. 8 stems shown in photo and arranged in our 8"" glass cylinder vase with clear gems (sold seperately)","35"" Tall x ","Bloom Diameter 5.5""",8 Stems Shown In Photo,Stems Arranged In Our 8' Hand Blown Cylinder Vase With Clear Gems (Sold Seperately),Handcrafted In China - Imported,,,,,CV4809-CLR,,35''H,-,5.5''D,8,12''Hx4''D,CV4809-CLR,x,x,x,x
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S3059-BR,848644017264,All Stems ,"Faux Curly Willow Flower Stem - 48"" ",Green/Brown,$2.40,$11.50,2,0,,12,Green-Brown-Beige,,,,,,Twigs & Branches,,,"25"" and Over",,,,,"Lifelike 47"" faux curly willow stem. 12 stems shown in photo and arraned in out 16"" cylinder vase with clear gems (sold seperately)","47"" Tall x",,12 Stems Shown In Photo ,"Stems Arranged In Our 16"" Hand Blown Vase With Two Bags Of Clear Gems (Sold Seperately)",Handcrafted In China - Imported,,,,,CV6058-CLR,,48''H,-,-,12,16''Hx5''D,CV6058-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S3064,848644017271,All Stems ,"Silk Calla Lily Bud Flower Stem - 24"" ",Master SKU ,$1.22,$6.00,3,NA,,12,Cream-White,Red-Burgundy,Green-Brown-Beige,Peach-Coral-Orange,Yellow-Gold,,Calla Lily ,,,"19"" to 24"" ",,,,,"Make a statement with our 48"" everlasting faux calla lily buds available in five colors. 12 stems shown in photo and arranged in our 16"" cylinder vase with clear gems (sold seperately).","48"" Tall",,12 Stems Shown In Photo,"Stems Arranged In Our 16"" Hand Blown Cylinder Vase With Clear Gems (Sold Seperately)",Handcrafted In China - Imported,,,,,CV4486-CLR,,24''H,-,3''D,12,10''Hx4''D,CV4486-CLR,x,,x,x
TRUE,TRUE,TRUE,TRUE,,Available - Est Delivery 5-10 Days,S3064-CR,848644017271,All Stems ,"Silk Calla Lily Bud Flower Stem - 24"" ",Cream,$1.22,$6.00,3,0,,12,Cream-White,Red-Burgundy,Green-Brown-Beige,Peach-Coral-Orange,Yellow-Gold,,Calla Lily ,,,"19"" to 24"" ",,,,,"Make a statement with our 48"" everlasting faux calla lily buds available in five colors. 12 stems shown in photo and arranged in our 16"" cylinder vase with clear gems (sold seperately).","48"" Tall",,12 Stems Shown In Photo,"Stems Arranged In Our 16"" Hand Blown Cylinder Vase With Clear Gems (Sold Seperately)",Handcrafted In China - Imported,,,,,CV4486-CLR,,24''H,-,3''D,12,10''Hx4''D,CV4486-CLR,x,,x,x
