item,sku,product_name,sheet_weight_raw,sheet_weight_lb,bc_weight_lb,implied_lb_from_div16,ratio,issue_type,detail,product_id,variant_id
,S4903-RD,"23"" Poppy Silk Flower Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6214,6118
,S4903-YE,"23"" Poppy Silk Flower Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6214,6119
,S4904,"22.5"" Poppy Silk Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6273,
,S4904-GOR,"22.5"" Poppy Silk Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6273,6274
,S4904-OR,"22.5"" Poppy Silk Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6273,6275
,S4904-RD,"22.5"" Poppy Silk Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6273,6276
,S4904-YE,"22.5"" Poppy Silk Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6273,6277
,S4905,"30"" Tiger Lily Silk Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6215,
,S4905-OR,"30"" Tiger Lily Silk Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6215,6121
,S4905-RB,"30"" Tiger Lily Silk Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6215,6122
,S4905-WH,"30"" Tiger Lily Silk Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6215,6123
,S4905-YE,"30"" Tiger Lily Silk Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6215,6124
,S4906,"12"" Snowball Hydrangea Silk Flower Bundle",,,0.0,,,zero_weight,no weight set on BigCommerce,6274,
,S4906-CR,"12"" Snowball Hydrangea Silk Flower Bundle",,,0.0,,,zero_weight,no weight set on BigCommerce,6274,6279
,S4906-LGR,"12"" Snowball Hydrangea Silk Flower Bundle",,,0.0,,,zero_weight,no weight set on BigCommerce,6274,6280
,S4907,"25"" Snowball Hydrangea Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6275,
,S4907-CR,"25"" Snowball Hydrangea Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6275,6331
,S4907-LGR,"25"" Snowball Hydrangea Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6275,6330
,S4908,"31"" Artificial Pear Blossom Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6276,
,S4908-CR,"31"" Artificial Pear Blossom Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6276,6286
,S4909,"17"" Magnolia Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6277,
,S4909-PU,"17"" Magnolia Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6277,6288
,S4909-WH,"17"" Magnolia Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6277,6289
,S4934-SG,"22"" Artificial Eucalyptus Seed Foliage Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6228,6168
,S4939,"30"" Faux Twig Foliage Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6347,
,S4939-NAB,"30"" Faux Twig Foliage Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6347,6683
,S4939-REGD,"30"" Faux Twig Foliage Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6347,6684
,S4962-GR,"24"" Faux Tea Leaves Foliage Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6229,6169
,S4965,"27"" Silk Cherry Blossom Faux Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6216,
,S4965-BTY,"27"" Silk Cherry Blossom Faux Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6216,6373
,S4965-CR,"27"" Silk Cherry Blossom Faux Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6216,6372
,S4965-CRP,"27"" Silk Cherry Blossom Faux Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6216,6128
,S4966,"46"" Silk Cherry Blossom Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6217,
,S4966-BTY,"46"" Silk Cherry Blossom Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6217,6573
,S4966-CR,"46"" Silk Cherry Blossom Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6217,6572
,S4966-CRP,"46"" Silk Cherry Blossom Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6217,6571
,S4973-BR,"47"" Artificial Birch Branch Sticks Bundle",,,0.0,,,zero_weight,no weight set on BigCommerce,6278,6290
,S5003,"25"" Silk Gerbera Daisy Faux Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6218,
,S5003-FU,"25"" Silk Gerbera Daisy Faux Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6218,6629
,S5003-OR,"25"" Silk Gerbera Daisy Faux Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6218,6630
,S5003-WH,"25"" Silk Gerbera Daisy Faux Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6218,6631
,S5003-YE,"25"" Silk Gerbera Daisy Faux Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6218,6632
,S5069-GRCR,"24"" Mini Watermelon Pepperomia Faux Foliage Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6230,6170
,S5070-GRCR,"25"" Mini Fittonia Artificial Foliage Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6231,6171
,S5071-GR,"25"" Faux Mountain Laurel Foliage Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6232,6172
,S5072,"19.5"" Diamond Rose Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6258,
,S5072-OR,"19.5"" Diamond Rose Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6258,6228
,S5072-PCYE,"19.5"" Diamond Rose Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6258,6229
,S5073,"12"" Artificial Mini Sunflower Bundle",,,0.0,,,zero_weight,no weight set on BigCommerce,6233,
,S5073-FL,"12"" Artificial Mini Sunflower Bundle",,,0.0,,,zero_weight,no weight set on BigCommerce,6233,6174
,S5073-RD,"12"" Artificial Mini Sunflower Bundle",,,0.0,,,zero_weight,no weight set on BigCommerce,6233,6175
,S5073-YE,"12"" Artificial Mini Sunflower Bundle",,,0.0,,,zero_weight,no weight set on BigCommerce,6233,6176
,S5075,"12"" Mini Daisy Silk Flower Bundle",,,0.0,,,zero_weight,no weight set on BigCommerce,6345,
,S5075-CE,"12"" Mini Daisy Silk Flower Bundle",,,0.0,,,zero_weight,no weight set on BigCommerce,6345,6418
,S5075-RD,"12"" Mini Daisy Silk Flower Bundle",,,0.0,,,zero_weight,no weight set on BigCommerce,6345,6419
,S5080,"30"" Cosmos Silk Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6219,
,S5080-ATOR,"30"" Cosmos Silk Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6219,6139
,S5080-HVBL,"30"" Cosmos Silk Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6219,6140
,S5080-LTPK,"30"" Cosmos Silk Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6219,6141
,S5081,"25"" Daisy Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6259,
,S5081-PC,"25"" Daisy Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6259,6231
,S5081-VI,"25"" Daisy Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6259,6232
,S5082,"30"" Queen Anne's Lace Faux Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6220,
,S5082-PU,"30"" Queen Anne's Lace Faux Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6220,6143
,S5082-WH,"30"" Queen Anne's Lace Faux Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6220,6144
,S5083,"14"" Cabbage Rose Faux Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6234,
,S5083-BTY,"14"" Cabbage Rose Faux Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6234,6178
,S5083-CRPK,"14"" Cabbage Rose Faux Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6234,6179
,S5083-OR,"14"" Cabbage Rose Faux Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6234,6180
,S5083-RD,"14"" Cabbage Rose Faux Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6234,6181
,S5088,"33"" Cornus Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6260,
,S5088-FU,"33"" Cornus Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6260,6234
,S5088-WH,"33"" Cornus Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6260,6235
,S5091,"22"" Artificial Mini Leaves Foliage Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6235,
,S5091-GRYE,"22"" Artificial Mini Leaves Foliage Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6235,6183
,S5091-RDGR,"22"" Artificial Mini Leaves Foliage Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6235,6184
,S5092-LTGR,"42"" Artificial Springerii Foliage Vine",,,0.0,,,zero_weight,no weight set on BigCommerce,6236,6185
,S5093,"28"" Queen Anne Lace Faux Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6237,
,S5093-WH,"28"" Queen Anne Lace Faux Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6237,6187
,S5093-YE,"28"" Queen Anne Lace Faux Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6237,6188
,S5094,"17"" Meadow Daisy Faux Flower Bundle",,,0.0,,,zero_weight,no weight set on BigCommerce,6238,
,S5094-CRWH,"17"" Meadow Daisy Faux Flower Bundle",,,0.0,,,zero_weight,no weight set on BigCommerce,6238,6190
,S5094-YE,"17"" Meadow Daisy Faux Flower Bundle",,,0.0,,,zero_weight,no weight set on BigCommerce,6238,6191
,S5095,"30.5"" Rambling Rose Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6239,
,S5095-MV,"30.5"" Rambling Rose Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6239,6193
,S5095-RD,"30.5"" Rambling Rose Silk Flower Stem Spray",,,0.0,,,zero_weight,no weight set on BigCommerce,6239,6194
,S5096,"39"" Cone Hydrangea Artificial Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6221,
,S5096-GR,"39"" Cone Hydrangea Artificial Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6221,6146
,S5096-WH,"39"" Cone Hydrangea Artificial Flower Stem",,,0.0,,,zero_weight,no weight set on BigCommerce,6221,6147
,S5097,Faux Tulip Bundle,,,0.0,,,zero_weight,no weight set on BigCommerce,6342,
,S5097-CO,Faux Tulip Bundle,,,0.0,,,zero_weight,no weight set on BigCommerce,6342,6382
