item,sku,product_name,sheet_weight_raw,sheet_weight_lb,bc_weight_lb,implied_lb_from_div16,ratio,issue_type,detail,product_id,variant_id,shopify_weight_lb,bc_minus_shopify_lb
HDC523-CHG,HDC523-CHG,Champagne Elegance Artificial Holiday Garland,4,4.0,48.0,3.00,12.00,multiple_of_16,was=48lb sheet=4lb ratio=12.00,6566,6813,4.0,44.00
PLA340-GR,PLA340-GR,Feather Grass Faux Foliage Plant,4,4.0,128.0,8.00,32.00,multiple_of_16,was=128lb sheet=4lb ratio=32.00,6588,6839,4.0,124.00
PLA359-NA,PLA359-NA,Serengeti Grass Faux Foliage Plant,4,4.0,96.0,6.00,24.00,multiple_of_16,was=96lb sheet=4lb ratio=24.00,6605,6864,4.0,92.00
PLD361-NA,PLD361-NA,Money Tree & Caladium Faux Foliage Planter,8,8.0,64.0,4.00,8.00,multiple_of_16,was=64lb sheet=8lb ratio=8.00,6591,6842,8.0,56.00
PLD405-GR,PLD405-GR,Faux Forest Fern Plant,4,4.0,48.0,3.00,12.00,multiple_of_16,was=48lb sheet=4lb ratio=12.00,6631,6904,4.0,44.00
PLD406-GR,PLD406-GR,Silk English Ivy Centerpiece,4,4.0,48.0,3.00,12.00,multiple_of_16,was=48lb sheet=4lb ratio=12.00,6632,6905,4.0,44.00
PLD534-GB,PLD534-GB,"Yucca, Cactus & Echeveria Mixed Faux Foliage Planter",4,4.0,48.0,3.00,12.00,multiple_of_16,was=48lb sheet=4lb ratio=12.00,6603,6859,4.0,44.00
TRC338-05,TRC338-05,5' Silk Bamboo Tree,9,9.0,128.0,8.00,14.22,multiple_of_16,was=128lb sheet=9lb ratio=14.22,6485,6693,9.0,119.00
TRC338-06,TRC338-06,6' Silk Bamboo Tree,16,16.0,128.0,8.00,8.00,multiple_of_16,was=128lb sheet=16lb ratio=8.00,6483,6691,16.0,112.00
TRC338-07,TRC338-07,7' Silk Bamboo Tree,16,16.0,128.0,8.00,8.00,multiple_of_16,was=128lb sheet=16lb ratio=8.00,6484,6692,16.0,112.00
TRM340-05,TRM340-05,5' Silk Mediterranean Olive Tree,10,10.0,128.0,8.00,12.80,multiple_of_16,was=128lb sheet=10lb ratio=12.80,6514,6736,10.0,118.00
TRM340-06,TRM340-06,6' Silk Mediterranean Olive Tree,18,18.0,128.0,8.00,7.11,multiple_of_16,was=128lb sheet=18lb ratio=7.11,6515,6737,18.0,110.00
TRM340-07,TRM340-07,7' Silk Mediterranean Olive Tree,19,19.0,128.0,8.00,6.74,multiple_of_16,was=128lb sheet=19lb ratio=6.74,6516,6738,19.0,109.00
WRA304-NA,WRA304-NA,Harvest Berries & Pinecones Artificial Autumn Wreath,4,4.0,32.0,2.00,8.00,multiple_of_16,was=32lb sheet=4lb ratio=8.00,6541,6780,4.0,28.00
WRA305-NA,WRA305-NA,Harvest Berries & Pinecones Artificial Autumn Teardrop,3,3.0,32.0,2.00,10.67,multiple_of_16,was=32lb sheet=3lb ratio=10.67,6542,6781,3.0,29.00
WRA342-NA,WRA342-NA,"Maple, Pomegranate & Pinecone Faux Autumn Wreath",4,4.0,32.0,2.00,8.00,multiple_of_16,was=32lb sheet=4lb ratio=8.00,6543,6782,4.0,28.00
WRA344-NA,WRA344-NA,"Maple, Pomegranate & Pinecone Faux Autumn Teardrop",3,3.0,32.0,2.00,10.67,multiple_of_16,was=32lb sheet=3lb ratio=10.67,6544,6783,3.0,29.00
WRA357-MP,WRA357-MP,Zinnia & Daisy Faux Flower Wreath,4,4.0,32.0,2.00,8.00,multiple_of_16,was=32lb sheet=4lb ratio=8.00,6594,6845,4.0,28.00
WRA372-NA,WRA372-NA,Fall Chestnut Silk Wreath,4,4.0,32.0,2.00,8.00,multiple_of_16,was=32lb sheet=4lb ratio=8.00,6610,6869,4.0,28.00
FLA136,FLA136,Dahlia Delight Silk Flower Arrangement,3,3.0,16.0,1.00,5.33,oz_like_value,was=16lb implies 1.00lb,6502,,,
FLA136,FLA136-CRW,Dahlia Delight Silk Flower Arrangement,3,3.0,16.0,1.00,5.33,oz_like_value,was=16lb implies 1.00lb,6502,6769,3.0,13.00
FLA136,FLA136-PE,Dahlia Delight Silk Flower Arrangement,3,3.0,16.0,1.00,5.33,oz_like_value,was=16lb implies 1.00lb,6502,6770,3.0,13.00
FLA136,FLA136-RD,Dahlia Delight Silk Flower Arrangement,3,3.0,16.0,1.00,5.33,oz_like_value,was=16lb implies 1.00lb,6502,6768,3.0,13.00
FLA921-MP,FLA921-MP,Sunflower & Zinnia Quart Jar Artificial Autumn Accent,4,4.0,36.0,2.25,9.00,oz_like_value,was=36lb implies 2.25lb,6607,6866,4.0,32.00
FLC225-PKW,FLC225-PKW,Magnolia & Ruffle Tulip Faux Flower Arrangement,6,6.0,72.0,4.50,12.00,oz_like_value,was=72lb implies 4.50lb,6627,6896,6.0,66.00
HDC420-WHS,HDC420-WHS,"Winter White & Silver 24"" Artificial Holiday Wreath",4,4.0,36.0,2.25,9.00,oz_like_value,was=36lb implies 2.25lb,6314,6332,4.0,32.00
HDC422-WHS,HDC422-WHS,Winter White & Silver Artificial Holiday Teardrop,3,3.0,24.0,1.50,8.00,oz_like_value,was=24lb implies 1.50lb,6302,6318,3.0,21.00
HDC520-CHG,HDC520-CHG,"Champagne Elegance 24"" Artificial Holiday Wreath",4,4.0,36.0,2.25,9.00,oz_like_value,was=36lb implies 2.25lb,6563,6810,4.0,32.00
WRA375-CRF,WRA375-CRF,Faux Dogwood & Berry Wreath,4,4.0,36.0,2.25,9.00,oz_like_value,was=36lb implies 2.25lb,6634,6907,4.0,32.00
WRA376-MS,WRA376-MS,Silk Cabbage Rose & Blossoms Wreath,4,4.0,36.0,2.25,9.00,oz_like_value,was=36lb implies 2.25lb,6635,6908,4.0,32.00
ACM104-00,ACM104-00,Silk Flower & Plant Cleaner - 14.8 Fluid Ounces,3,3.0,0.0,,,zero_weight,sheet expects 3lb,6134,5896,3.0,-3.00
FLA188-CR,FLA188-CR,Magnolia Silk Flower Arrangement,2,2.0,0.0,,,zero_weight,sheet expects 2lb,5229,5107,2.0,-2.00
FLA216,FLA216,Gerbera Daisy Silk Flower Arrangement,2,2.0,0.0,,,zero_weight,sheet expects 2lb,5230,,,
FLA216,FLA216-FS,Gerbera Daisy Silk Flower Arrangement,2,2.0,0.0,,,zero_weight,sheet expects 2lb,5230,5812,2.0,-2.00
FLA216,FLA216-OR,Gerbera Daisy Silk Flower Arrangement,2,2.0,0.0,,,zero_weight,sheet expects 2lb,5230,5813,2.0,-2.00
FLA216,FLA216-RD,Gerbera Daisy Silk Flower Arrangement,2,2.0,0.0,,,zero_weight,sheet expects 2lb,5230,5814,2.0,-2.00
FLA216,FLA216-WH,Gerbera Daisy Silk Flower Arrangement,2,2.0,0.0,,,zero_weight,sheet expects 2lb,5230,5815,2.0,-2.00
FLA216,FLA216-YL,Gerbera Daisy Silk Flower Arrangement,2,2.0,0.0,,,zero_weight,sheet expects 2lb,5230,5816,2.0,-2.00
FLA397-CR,FLA397-CR,Southern Charm Silk Flower Arrangement,3,3.0,0.0,,,zero_weight,sheet expects 3lb,5232,5114,3.0,-3.00
FLA597,FLA597,Silk Vanda Orchid Plant,4,4.0,0.0,,,zero_weight,sheet expects 4lb,5237,,,
FLA597,FLA597-RD,Silk Vanda Orchid Plant,4,4.0,0.0,,,zero_weight,sheet expects 4lb,5237,5117,4.0,-4.00
FLA597,FLA597-WH,Silk Vanda Orchid Plant,4,4.0,0.0,,,zero_weight,sheet expects 4lb,5237,5118,4.0,-4.00
FLA615,FLA615,Rose Nosegay Silk Flower Arrangement,3,3.0,0.0,,,zero_weight,sheet expects 3lb,5241,,,
FLA615,FLA615-CO,Rose Nosegay Silk Flower Arrangement,3,3.0,0.0,,,zero_weight,sheet expects 3lb,5241,5120,3.0,-3.00
FLA615,FLA615-CO-1,Test Product -,3,3.0,0.0,,,zero_weight,sheet expects 3lb,6086,5832,3.0,-3.00
FLA615,FLA615-MVL,Rose Nosegay Silk Flower Arrangement,3,3.0,0.0,,,zero_weight,sheet expects 3lb,5241,5121,3.0,-3.00
FLA615,FLA615-MVL-1,Test Product -,3,3.0,0.0,,,zero_weight,sheet expects 3lb,6086,5833,3.0,-3.00
FLA615,FLA615-PK,Rose Nosegay Silk Flower Arrangement,3,3.0,0.0,,,zero_weight,sheet expects 3lb,5241,5122,3.0,-3.00
FLA615,FLA615-PK-1,Test Product -,3,3.0,0.0,,,zero_weight,sheet expects 3lb,6086,5834,3.0,-3.00
